Name,Trigger,AttackName,Impact,Puncture,Slash,Cold,Electricity,Heat,Toxin,Blast,Corrosive,Gas,Magnetic,Radiation,Viral,Void,BaseDamage,BaseDps,TotalDamage,CritChance,CritMultiplier,AvgShotDmg,BurstDps,SustainedDps,LifetimeDmg,StatusChance,ForcedProcs,AvgProcCount,AvgProcPerSec,Multishot,FireRate,ChargeTime,Disposition,Mastery,Magazine,AmmoPickup,AmmoMax,Reload,ShotType,ShotSpeed,PunchThrough,Accuracy,Introduced,IntroducedDate,Slot,Class,AmmoType,Range,InternalName,Family,FalloffStart,FalloffEnd,FalloffReduction
Tenet Tetra,Auto / Semi,Normal Attack,13.2,33.6,13.2,0,0,0,0,0,0,0,0,0,0,0,60,300,96,0.28,2.2,128.256,641.28,563.76263736264,71823.36,0.3,nil,0.3,1.5,1,5,0,1.15,16,80,40,480,2.2,Projectile,100,0,18.2,Update 30.5,2021-07-06,Primary,Rifle,Primary,0,/Lotus/Weapons/Corpus/BoardExec/Primary/CrpBETetra/CrpBETetra,Tetra,0,inf,1
Tenet Tetra,Auto / Semi,Grenade Impact,200,0,0,0,0,0,0,0,0,0,0,0,0,0,200,266,320,0.28,2.2,427.52,568.6016,167.53140836771,2992.64,0.3,nil,0.3,0.399,1,1.33,0,1.15,16,80,40,480,1.8,Projectile,60,0,18.2,Update 30.5,2021-07-06,Primary,Rifle,Primary,0,/Lotus/Weapons/Corpus/BoardExec/Primary/CrpBETetra/CrpBETetra,Tetra,0,inf,1
Tenet Tetra,Auto / Semi,Grenade AoE,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,1000,1330,1600,0.28,2.2,2137.6,2843.008,724.14875191034,14963.2,0.3,nil,0.3,0.399,1,1.33,0,1.15,16,80,40,480,2.2,AoE,inf,0,18.2,Update 30.5,2021-07-06,Primary,Rifle,Primary,8,/Lotus/Weapons/Corpus/BoardExec/Primary/CrpBETetra/CrpBETetra,Tetra,0,8,0.6
Ambassador,Auto,Auto,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,319.92,24,0.14,2.8,30.048,400.53984,294.29368764255,31730.688,0.26,nil,0.26,3.4658,1,13.33,0,1.1,10,96,80,960,2.6,Hit-Scan,inf,0,111.1,Update 30.5,2021-07-06,Primary,Rifle,Primary,300,/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle,Ambassador,0,inf,1
Ambassador,Charge,Charge,0,0,0,0,600,0,0,0,0,0,0,0,0,0,600,600,600,0.16,2.8,772.8,772.8,336,17001.6,0.32,nil,0.32,0.16,1,1,1,1.1,10,96,80,960,2.6,Hit-Scan,inf,0,100,Update 30.5,2021-07-06,Primary,Rifle,Primary,300,/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle,Ambassador,0,inf,1
Ambassador,Auto / Charge,Charged AoE,0,0,0,0,800,0,0,0,0,0,0,0,0,0,800,800,800,0.16,2.8,1030.4,1030.4,1521.8215384615,1088102.4,0.32,nil,0.32,0.19393939393939,1,1,0.65,1.1,10,96,80,960,2.6,AoE,inf,0,111.1,Update 30.5,2021-07-06,Primary,Rifle,Primary,6,/Lotus/Weapons/Corpus/LongGuns/CrpArSniper/CrpArSniperRifle,Ambassador,0,6,0.5
Phantasma,Held,Beam,5,0,0,0,0,0,0,0,0,0,0,10,0,0,15,1080,90,0.03,1.5,91.35,1096.2,861.3,52252.2,0.222,nil,1.332,15.984,6,12,0,1.05,9,11,15,275,0.5,Discharge,inf,0,100,Update 23.5,2018-08-24,Primary,Shotgun,Primary,20,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Phantasma,Held,Plasma Bomb Impact,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,15,0.03,1.5,15.225,15.225,13.840909090909,1979.25,0.37,nil,1.37,0.91333333333333,1,2,1,1.05,9,11,15,275,0.5,Projectile,25,0,100,Update 23.5,2018-08-24,Primary,Shotgun,Primary,0,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
Phantasma,Held,Plasma Bomb Explosion,0,0,0,0,0,0,0,0,0,0,0,73,0,0,73,146,73,0.03,1.5,74.095,148.19,135.84083333333,21191.17,0.37,nil,1.37,2.74,1,2,0,1.05,9,11,15,275,0.5,AoE,inf,0,100,Update 23.5,2018-08-24,Primary,Shotgun,Primary,4.8,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,4.8,0.5
Phantasma,Held,Cluster Bombs Impact,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,15,0.03,1.5,15.225,30.45,27.9125,4354.35,0.37,nil,6.85,13.7,5,2,0,1.05,9,11,15,275,0.5,Projectile,6,0,100,Update 23.5,2018-08-24,Primary,Shotgun,Primary,0,/Lotus/Weapons/Tenno/LongGuns/RevenantShotgun/RevenantShotgun,Phantasma,0,inf,1
